id_mutation,date_mutation,nature_mutation,valeur_fonciere,code_postal,code_commune,nom_commune,code_departement,type_local,surface_reelle_bati,nombre_pieces_principales
2023-001,2023-02-10,Vente,270000,33000,33063,Bordeaux,33,Appartement,60,3
2023-002,2023-04-22,Vente,456000,33000,33063,Bordeaux,33,Maison,100,5
2023-003,2023-06-15,Vente,315000,33800,33063,Bordeaux,33,Appartement,72,3
2023-004,2023-09-30,Vente,220000,33000,33063,Bordeaux,33,Appartement,48,2
2023-010,2023-03-12,Vente,180000,33130,33069,Bègles,33,Appartement,48,2
2023-011,2023-05-19,Vente,300000,33130,33069,Bègles,33,Maison,80,4
2023-012,2023-08-27,Vente,232000,33130,33069,Bègles,33,Appartement,62,3
2023-020,2023-02-28,Vente,241500,33170,33192,Gradignan,33,Appartement,70,3
2023-021,2023-05-05,Vente,310500,33170,33192,Gradignan,33,Maison,90,4
2023-022,2023-10-11,Vente,172500,33170,33192,Gradignan,33,Appartement,50,2
2023-030,2023-01-20,Vente,213000,33700,33281,Mérignac,33,Appartement,60,3
2023-031,2023-06-08,Vente,319500,33700,33281,Mérignac,33,Maison,90,4
2023-032,2023-11-14,Vente,177500,33700,33281,Mérignac,33,Appartement,50,2
2023-040,2023-03-03,Vente,219000,33600,33318,Pessac,33,Appartement,60,3
2023-041,2023-07-21,Vente,328500,33600,33318,Pessac,33,Maison,90,4
2023-042,2023-10-30,Vente,182500,33600,33318,Pessac,33,Appartement,50,2
2023-050,2023-02-17,Vente,237000,33400,33449,Talence,33,Appartement,60,3
2023-051,2023-05-26,Vente,355500,33400,33449,Talence,33,Maison,90,4
2023-052,2023-09-09,Vente,197500,33400,33449,Talence,33,Appartement,50,2
